,Model Name,Mean Square Error,Mean Absolute Error,R2 Score
0,LinearRegression,9.846399666489683e+28,9.846399666489683e+28,-5.5311997945347424e+26
7,MLPRegressor,258.2493490257506,258.2493490257506,-0.45071172677597415
1,Ridge,194.14116471845549,194.14116471845549,-0.09058499225462202
6,KNeighborsRegressor,177.17396825396827,177.17396825396827,0.004727971647908835
5,RandomForestRegressor,159.72244603174602,159.72244603174602,0.10276162800901323
2,Lasso,152.23859146421023,152.23859146421023,0.1448020653753337
3,BayesianRidge,151.08442864740812,151.08442864740812,0.15128555716054093
4,ElasticNet,149.149756494984,149.149756494984,0.16215354807543292
