,Model Name,Mean Square Error,Mean Absolute Error,R2 Score
0,LinearRegression,1.331112090765342e+29,1.331112090765342e+29,-8.314553799959779e+26
7,MLPRegressor,303.34568163809314,303.34568163809314,-0.8947945912768553
1,Ridge,211.2511898445555,211.2511898445555,-0.31954280593918427
6,KNeighborsRegressor,194.6984126984127,194.6984126984127,-0.21614884154267933
5,RandomForestRegressor,177.31328571428577,177.31328571428577,-0.10755575262742134
2,Lasso,162.28901766467902,162.28901766467902,-0.013709347151795503
4,ElasticNet,161.34511092793502,161.34511092793502,-0.007813402400598912
3,BayesianRidge,161.0772178490482,161.0772178490482,-0.006140056156887175
