score_margin_hma,total_points,spread_hma,spread_hma_adjusted,delta_marg2spread,Rk_hma,G_hma,PF_hma,Yds_hma,Ply_hma,Y/P_hma,TO_hma,FL_hma,1stD_hma,Cmp_hma,Att_hma,Yds.1_hma,TD_hma,Int_hma,NY/A_hma,1stD.1_hma,Att.1_hma,Yds.2_hma,TD.1_hma,Y/A_hma,1stD.2_hma,Pen_hma,Yds.3_hma,1stPy_hma,Sc%_hma,TO%_hma,EXP_hma,Rk_po_hma,G_po_hma,Cmp_po_hma,Att_po_hma,Cmp%_hma,Yds_po_hma,TD_po_hma,TD%_hma,Int_po_hma,Int%_hma,Lng_hma,Y/A_po_hma,AY/A_hma,Y/C_hma,Y/G_hma,Rate_hma,Sk_hma,Yds.1_po_hma,NY/A_po_hma,ANY/A_hma,Sk%_hma,4QC_hma,GWD_hma,EXP_po_hma,Rk_hma,G_hma,Att_hma,Yds_hma,TD_hma,Lng_ro_hma,Y/A_hma,Y/G_ro_hma,Fmb_hma,EXP_hma,Rk_ret_hma,G_ret_hma,Ret_hma,Yds_ret_hma,TD_ret_hma,Lng_hma,Y/R_hma,Rt_hma,Yds.1_hma,TD.1_ret_hma,Lng.1_hma,Y/Rt_hma,APYd_hma,Rk_hma,G_hma,FGA_hma,FGM_hma,FGA.1_hma,FGM.1_hma,FGA.2_hma,FGM.2_hma,FGA.3_hma,FGM.3_hma,FGA.4_hma,FGM.4_hma,FGA.5_hma,FGM.5_hma,Lng_kp_hma,FG%_hma,XPA_hma,XPM_hma,XP%_hma,KO_hma,KOYds_hma,TB_hma,TB%_hma,KOAvg_hma,Pnt_hma,Yds_hma,Lng.1_kp_hma,Blck_hma,Y/P_kp_hma,Rk_oconv_hma,G_oconv_hma,3DAtt_hma,3DConv_hma,3D%_hma,4DAtt_hma,4DConv_hma,4D%_hma,RZAtt_hma,RZTD_hma,RZPct_hma,Rk_hma,G_hma,#Dr_hma,Plays_hma,Sc%_odriv_hma,TO%_odriv_hma,Plays.1_hma,Yds_odriv_hma,Time_hma,Pts_hma,Rk_td_hma,G_td_hma,PF_td_hma,Yds_hma,Ply_td_hma,Y/P_hma,TO_td_hma,FL_td_hma,1stD_td_hma,Cmp_hma,Att_td_hma,Yds.1_td_hma,TD_hma,Int_hma,NY/A_hma,1stD.1_td_hma,Att.1_td_hma,Yds.2_td_hma,TD.1_hma,Y/A_td_hma,1stD.2_td_hma,Pen_td_hma,Yds.3_td_hma,1stPy_td_hma,Sc%_hma,TO%_hma,EXP_td_hma,G_hma,Att_hma,Cmp_ad_hma,Yds_ad_hma,TD_ad_hma,DADOT_hma,Air_hma,YAC_hma,Bltz_hma,Bltz%_hma,Hrry_hma,Hrry%_hma,QBKD_hma,QBKD%_hma,Sk_ad_hma,Prss_hma,Prss%_hma,MTkl_hma,Rk_hma,G_pd_hma,Cmp_hma,Att_pd_hma,Cmp%_pd_hma,Yds_hma,TD_hma,TD%_pd_hma,Int_pd_hma,PD_hma,Int%_pd_hma,Y/A_hma,AY/A_pd_hma,Y/C_pd_hma,Y/G_hma,Rate_pd_hma,Sk_hma,Yds.1_hma,QBHits_hma,TFL_hma,NY/A_pd_hma,ANY/A_pd_hma,Sk%_pd_hma,EXP_hma,Rk_rd_hma,G_hma,Att_hma,Yds_rd_hma,TD_rd_hma,Y/A_rd_hma,Y/G_rd_hma,EXP_rd_hma,Rk_hma,G_retd_hma,Ret_retd_hma,Yds_hma,TD_hma,Y/R_retd_hma,Rt_retd_hma,Yds.1_retd_hma,TD.1_retd_hma,Y/Rt_retd_hma,Rk_kpd_hma,G_hma,FGA_kpd_hma,FGM_kpd_hma,FG%_kpd_hma,XPA_kpd_hma,XPM_kpd_hma,XP%_kpd_hma,Pnt_kpd_hma,Yds_kpd_hma,Blck_kpd_hma,Y/P_kpd_hma,Rk_hma,G_dconv_hma,3DAtt_dconv_hma,3DConv_dconv_hma,3D%_dconv_hma,4DAtt_dconv_hma,4DConv_dconv_hma,4D%_dconv_hma,RZAtt_dconv_hma,RZTD_dconv_hma,RZPct_dconv_hma,Rk_ddriv_hma,G_hma,#Dr_ddriv_hma,Plays_ddriv_hma,Sc%_ddriv_hma,TO%_ddriv_hma,Plays.1_ddriv_hma,Yds_hma,Time_ddriv_hma,Pts_ddriv_hma
3,51,-6.5,6.5,3.5,-19,0,132,431,52,0.2,-4,4,32,-3,-28,-130,12,-8,0.2,7,87,561,11,0.4,37,3,253,-12,5.2,-4.2,95.74,1,0,-3,-28,3.1,-130,12,2.5,-8,-1.4,-23,0.1,1.1,-0.4,-8.1,16.6,-7,-54,0.2,1.2,-0.8,1,3,63.87,-15,0,87,561,11,4,0.4,35.1,14,28.27,-23,0,19,282,0,22,4.3,1,27,0,-23,0.1,662,-30,0,0,0,-6,-6,0,0,1,0,-3,0,-8,-6,-3,0.015,22,24,0.066,14,867,0,-0.13,-0.1,17,592,-9,0,-3.2,-20,0,13,17,0.057,-11,-4,0.132,11,20,0.212,-18,0,19,44,5.2,-4.2,-0.5,-1.2,-0.009027778,0.58,-13,0,-65,-787,-30,-0.6,4,-7,-40,-65,-28,-353,0,11,-0.4,-26,-18,-434,-6,-0.8,-29,-21,-196,15,-11.3,0.7,85.52,0,-28,-65,-353,0,1.7,-38,-376,44,0.078,-4,-0.004,8,0.019,16,20,0.039,-39,-13,0,-65,-28,-8.2,-353,0,0.2,11,26,2,-0.2,-1,1.2,-22.1,-15.1,16,88,24,26,-0.4,-1.2,2.8,33.7,-16,0,-18,-434,-6,-0.8,-27.1,50.45,22,0,2,-138,-1,-7.9,15,235,0,-3.4,30,0,-5,-7,-0.089,-8,-4,0.083,15,835,0,2.7,-18,0,8,-19,-0.11,20,10,-0.067,-7,-2,0.048,16,0,15,-35,-11.3,0.7,-0.7,-7.5,-0.011111111,-0.57
1,55,-3,3,2,-13,0,80,700,30,0.6,2,5,48,-24,-34,121,19,-3,0.6,20,61,579,1,0.7,29,-13,-102,-1,-0.5,-0.7,76.5,-4,0,-24,-34,-0.2,121,19,3.9,-3,-0.4,-4,0.8,1.7,1.1,7.6,17.5,3,15,0.6,1.4,0.9,1,3,80.04,-16,0,61,579,1,25,0.7,36.2,9,11.62,-2,0,-4,-48,0,-7,-1.6,4,-12,0,-60,-3.4,482,-3,0,0,0,-6,-5,-6,-7,-1,-3,-1,1,-14,-14,-3,-0.124,7,4,-0.057,4,-42,-18,-0.253,-3.5,11,353,-8,2,-2.8,1,0,-14,-2,0.019,-4,-2,0.009,2,13,0.203,-17,0,17,16,-0.5,-0.7,-0.6,0.6,-0.015972222,0.35,11,0,73,531,14,0.5,0,-8,6,-40,-44,316,2,8,1.1,-3,64,215,2,-0.1,22,-2,10,-13,4,-1.7,-54.75,0,-44,-40,316,2,1.5,208,-201,6,0.029,-6,-0.003,-15,-0.02,-6,-27,-0.028,10,7,0,-40,-44,-1.8,316,2,0.7,8,-2,1.6,1,0.4,1.8,19.7,-1.4,-6,-73,-19,-1,1.1,0.6,-0.6,-43.08,7,0,64,215,2,-0.1,13.4,-14.11,1,0,15,137,-1,-0.5,20,526,1,4.2,4,0,8,6,-0.038,3,5,0.053,-9,-304,0,2.1,-24,0,-14,-25,-0.097,14,11,0.108,1,-2,-0.046,7,0,7,17,4,-1.7,-0.1,1.6,0,0.17
8,40,-9,9,1,-23,0,159,632,-3,0.7,-10,1,23,-1,-24,218,32,-11,0.9,24,36,414,-3,0.6,4,-11,-68,-5,9.4,-7.6,209.55,-9,0,-1,-24,2.9,218,32,6.2,-11,-1.9,3,0.7,2.8,0.5,13.6,34,-15,-48,0.9,2.9,-2.3,1,2,195.53,-13,0,36,414,-3,32,0.6,25.9,-2,22.61,4,0,-9,-64,0,-9,-1.1,4,-111,0,-64,-6.4,325,-8,0,1,1,-11,-10,-5,-5,-3,-2,-2,3,-20,-13,1,0.194,27,26,0.02,17,1106,-19,-0.346,0.4,2,10,-5,1,-1.8,-18,0,-15,13,0.104,-6,-2,0.063,3,19,0.291,-1,0,2,-23,9.4,-7.6,-0.3,3.5,0.004861111,0.99,-5,0,-33,-417,-48,-0.1,-4,-8,-28,-52,-49,-286,-5,4,-0.1,-27,-11,-131,-1,-0.2,5,-6,21,-6,-6.1,-1,15.87,0,-49,-52,-286,-5,0.2,-269,-95,-3,0.007,-6,-0.005,-21,-0.03,12,-15,-0.013,-12,-11,0,-52,-49,-3.4,-286,-5,-0.5,4,16,0.9,0.2,-0.3,0.9,-17.9,-7.3,12,55,-9,3,-0.1,-0.5,2.4,33.79,-6,0,-11,-131,-1,-0.2,-8.2,-9.28,-5,0,-1,107,1,6.9,38,944,0,3.6,8,0,-4,-5,-0.046,-6,-2,0.086,5,273,0,1,-23,0,-14,-25,-0.097,14,8,-0.017,-5,-6,-0.055,-1,0,-3,-52,-6.1,-1,-0.2,-1.8,-0.003472222,-0.32
14,54,-9,9,-5,-12,0,89,649,117,-0.1,-2,-2,71,37,84,316,7,0,-0.2,33,59,333,3,0.2,27,25,300,11,5,-0.6,140.6,-3,0,37,84,-3.4,316,7,0.3,0,-0.2,-2,-1,-0.8,-0.7,19.8,-5,-26,-154,-0.2,0,-4.7,3,3,88.64,-15,0,59,333,3,-16,0.2,20.8,-2,41.47,4,0,8,5,1,48,-2.1,-11,-76,1,73,5.7,686,-10,0,2,2,-1,-1,0,0,-3,-3,-2,0,-4,-2,4,0.055,14,11,-0.036,10,661,20,0.144,0.3,-3,-192,0,0,-1,-10,0,1,12,0.06,0,0,0,9,9,0.07,1,0,0,113,5,-0.6,0.7,3.9,0.013194444,0.4,-16,0,-102,-935,-46,-0.6,13,0,-37,-28,16,-325,-1,13,-0.7,-20,-60,-610,-10,-0.7,-32,21,82,15,-10.9,7.6,114.95,0,16,-28,-325,-1,0.7,-83,-195,10,-0.002,9,0.011,19,0.031,-2,26,0.031,-6,-10,0,-28,16,-7,-325,-1,-0.3,13,14,2.3,-0.9,-2,-0.1,-20.3,-20.2,-2,-32,19,-18,-0.7,-1.7,-0.5,99.26,-11,0,-60,-610,-10,-0.7,-38.2,3.42,-4,0,-4,-9,0,1.2,-11,-156,1,3.2,8,0,-5,-7,-0.114,-10,-11,-0.03,6,362,-1,1.6,-18,0,-14,-19,-0.065,-1,2,0.126,-16,-4,0.131,3,0,1,-51,-10.9,7.6,-0.3,-5.9,-0.0125,-0.6
7,47,-7.5,7.5,0.5,-9,0,67,45,92,-0.5,-3,-7,38,-12,6,-485,-9,4,-0.5,-21,115,530,10,0,46,14,280,13,1.5,-1,28.19,7,0,-12,6,-2.9,-485,-9,-1.7,4,0.7,-22,-1.3,-1.9,-1.3,-30.3,-16.4,-29,-172,-0.5,-1.2,-4.7,2,3,-1.03,-20,0,115,530,10,14,0,33.2,-13,22.34,-13,0,11,154,0,7,2.2,7,389,1,72,5.7,715,-6,0,0,0,2,2,4,3,3,3,-3,-3,6,5,-1,-0.006,5,6,0.031,10,601,-6,-0.124,-0.3,-6,-315,-7,1,-0.8,7,0,4,-5,-0.034,10,7,0.052,10,8,0.043,-8,0,8,98,1.5,-1,0.3,-1.4,0.009722222,0.02,-17,0,-102,-1354,-76,-0.8,16,4,-61,-8,21,-238,-6,12,-0.7,-19,-103,-1116,-8,-1.5,-51,10,77,9,-11.9,8.9,167.22,0,21,-8,-238,-6,0.4,322,-524,-104,-0.188,24,0.033,-10,-0.021,6,20,0.018,-55,-4,0,-8,21,-4,-238,-6,-1.2,12,28,2.1,-0.7,-1.9,-0.3,-14.9,-19.1,6,40,1,6,-0.7,-1.8,0.7,100.84,-30,0,-103,-1116,-8,-1.5,-69.8,72.02,13,0,4,49,0,1,17,382,1,0.6,5,0,-8,-6,0.02,-9,-8,0.02,13,547,0,-0.5,-8,0,1,-10,-0.051,-7,-5,-0.095,-11,-8,-0.02,-1,0,0,-84,-11.9,8.9,-0.5,-8.1,-0.015277778,-0.69
7,49,-4,4,-3,-6,0,32,-650,103,-1.3,0,-4,-4,45,110,-535,2,4,-1.6,-16,29,-115,2,-0.7,-2,1,72,14,-5.7,-1.3,-62,11,0,45,110,-4.9,-535,2,-0.7,4,0.4,7,-2.6,-2.9,-3,-33.4,-18.8,-36,-179,-1.6,-1.9,-6.3,4,4,-28.78,1,0,29,-115,2,11,-0.7,-7.2,1,-35.99,-9,0,17,198,0,38,1.7,-7,-52,0,20,3,-512,-23,0,0,0,-2,-2,-2,-2,2,3,-5,-3,-7,-4,5,0.087,5,4,-0.014,1,22,-7,-0.087,-0.5,22,939,-5,0,-0.9,-11,0,37,14,-0.008,3,1,-0.037,2,6,0.095,-25,0,25,96,-5.7,-1.3,-0.3,-8.4,-0.002777778,-0.22,-24,0,-152,-1775,-72,-1.3,18,3,-109,-79,-15,-994,-8,15,-1.8,-59,-79,-781,-11,-0.9,-51,27,302,1,-17.7,8.4,276.08,0,-15,-79,-994,-8,1.8,-144,-900,32,0.044,31,0.049,33,0.065,22,86,0.136,-14,-21,0,-79,-15,-13,-994,-8,-1.3,15,34,2.8,-1.4,-3,0.2,-62.1,-32.9,22,163,57,38,-1.8,-3.2,3.7,213.72,-21,0,-79,-781,-11,-0.9,-48.9,62.19,8,0,13,192,0,3.3,7,203,0,1.4,22,0,-7,-5,0.027,-17,-17,-0.01,30,1416,-1,0.9,-10,0,20,-13,-0.101,-1,-6,-0.274,-18,-15,-0.079,22,0,20,-79,-17.7,8.4,-1.1,-13.7,-0.027083333,-1.08
6,78,-3.5,3.5,-2.5,-14,0,107,339,91,-0.2,-6,-6,55,-67,-61,-885,0,0,-0.4,-19,177,1224,16,0.9,59,6,164,15,5,-2.6,104.79,19,0,-67,-61,-4.9,-885,0,0.8,0,0.1,-2,-1,-0.9,-0.5,-55.3,-6.4,-25,-132,-0.4,-0.4,-3.5,5,6,23.92,-29,0,177,1224,16,46,0.9,76.5,-6,67.94,-6,0,3,50,0,21,1.1,2,45,1,13,0.1,593,-7,0,0,0,-5,-6,-3,-4,3,0,2,3,-3,-7,1,-0.157,13,14,0.037,7,326,1,-0.034,-1.3,-5,-275,-1,1,-0.9,-1,0,-11,1,0.032,0,1,0.062,14,21,0.21,-3,0,4,88,5,-2.6,0.3,0.9,0.002777778,0.53,-3,0,-25,-296,8,-0.3,14,2,1,46,89,335,6,12,-0.3,25,-66,-631,-6,-0.7,-32,27,162,8,-1.8,7.9,57.64,0,89,46,335,6,0.4,386,-312,-18,-0.072,3,-0.006,4,-0.006,-15,-8,-0.039,-12,5,0,46,89,-2.6,335,6,0.2,12,31,1.8,-0.7,-1.5,-0.6,20.9,-12.1,-15,-67,-8,-11,-0.3,-1,-3,11.17,-13,0,-66,-631,-6,-0.7,-39.5,26.44,6,0,1,43,0,1.9,3,118,0,1.5,6,0,-8,-4,0.107,-3,-7,-0.086,-6,-138,-1,2.9,5,0,12,15,0.044,5,4,0.053,2,5,0.057,-3,0,-2,0,-1.8,7.9,0.1,-1.5,-0.002777778,-0.04
3,17,-4,4,1,-4,0,24,-91,82,-0.6,-2,-3,29,-68,-45,-999,-6,1,-0.9,-27,151,908,11,0.5,50,20,251,6,-2.3,-0.1,19.26,20,0,-68,-45,-7.2,-999,-6,-0.6,1,0.3,-2,-1.5,-1.8,-0.9,-62.4,-15.7,-24,-143,-0.9,-1.1,-3.5,2,2,-36.77,-28,0,151,908,11,11,0.5,56.8,2,42.91,-5,0,4,-43,0,-6,-3.1,0,73,0,14,2,-35,1,0,0,0,-3,-3,-3,-5,4,4,-5,-4,-7,-8,-8,-0.079,8,6,-0.029,-3,-144,-7,-0.062,0.5,-4,-287,-8,0,-2,-4,0,3,5,0.019,8,-1,-0.23,3,12,0.196,-1,0,2,75,-2.3,-0.1,0.3,-1.2,0.013194444,0.04,-6,0,-45,-933,-33,-0.7,12,4,-38,-6,44,-142,1,8,-0.7,-8,-81,-791,-8,-0.9,-29,8,12,-1,-4,7.3,92.42,0,44,-6,-142,1,1,218,-410,-74,-0.146,23,0.028,-12,-0.027,4,15,0.004,-29,-2,0,-6,44,-6.3,-142,1,-0.2,8,24,1.3,-0.8,-1.5,-0.1,-8.9,-14.8,4,41,-5,-8,-0.7,-1.3,0.2,42.75,-23,0,-81,-791,-8,-0.9,-49.5,39.18,5,0,6,101,0,2.5,4,293,1,5.6,-2,0,-4,-2,0.046,-9,-11,-0.053,-1,-114,-1,-1.4,-4,0,3,-6,-0.036,6,11,0.291,-2,-3,-0.028,-4,0,-3,-37,-4,7.3,-0.1,-5.1,-0.013194444,-0.25
29,43,1,-1,-30,5,0,-12,-702,103,-1.3,4,-5,9,19,68,-883,-7,9,-2,-4,49,181,2,-0.1,10,8,158,3,-4,2.2,-105.3,18,0,19,68,-4.6,-883,-7,-1.8,9,1.3,-24,-2.5,-3.4,-2.8,-55.2,-25.8,-14,-35,-2,-2.9,-2.9,3,3,-129.77,-6,0,49,181,2,32,-0.1,11.3,-1,11.42,-12,0,5,32,0,13,-0.3,11,423,1,75,4.3,-198,-9,0,0,0,1,1,1,1,2,3,-3,-2,1,3,1,0.067,-3,-1,0.048,-1,-217,-10,-0.11,-1.8,9,393,-3,0,-0.3,15,0,12,-12,-0.084,12,8,0.044,5,4,0.024,-13,0,12,104,-4,2.2,0.1,-6.5,0.004166667,-0.31,-13,0,-94,-1149,-48,-0.8,9,2,-59,-27,6,-399,-2,7,-0.7,-32,-55,-750,-13,-1.1,-41,19,183,14,-9,3.5,152.54,0,6,-27,-399,-2,0.9,145,-534,-81,-0.145,3,0.002,6,0.01,1,10,0.009,-36,-12,0,-27,6,-5.7,-399,-2,-0.4,7,21,1.2,-0.8,-1.5,-0.2,-24.9,-14.7,1,13,8,-2,-0.7,-1.3,0.1,74.56,-17,0,-55,-750,-13,-1.1,-46.9,83.42,12,0,6,166,0,5.1,7,131,0,-0.3,9,0,4,4,0.023,-10,-12,-0.055,12,581,-1,0.7,-14,0,8,-16,-0.094,1,2,0.067,-10,-11,-0.088,14,0,11,-44,-9,3.5,-0.6,-8.9,-0.01875,-0.69
-16,66,3,-3,13,2,0,-7,-401,51,-0.7,3,-3,24,-9,36,-434,-6,6,-1,-2,23,33,7,-0.2,10,15,241,16,-4.4,1.4,-45.44,6,0,-9,36,-5.8,-434,-6,-1.4,6,0.9,-4,-1.3,-2,-0.8,-27.1,-19,-8,-12,-1,-1.7,-1.7,3,4,-49.76,-1,0,23,33,7,6,-0.2,2.1,-8,-2.55,7,0,-3,59,1,55,4.9,-2,123,0,42,4.8,-180,-4,0,0,0,-4,-4,-2,-2,-1,-2,4,2,-3,-6,5,-0.121,1,1,0.002,-9,-734,-26,-0.265,-2.2,4,366,0,0,3.1,5,0,-1,-4,-0.019,4,1,-0.063,3,8,0.12,-5,0,6,43,-4.4,1.4,0,-3.8,-0.002083333,-0.14,5,0,55,48,0,0.1,3,-1,25,6,16,454,8,4,0.7,31,-6,-406,3,-0.8,-18,27,119,12,0.9,1.7,-40.2,0,16,6,454,8,1.1,555,-112,-70,-0.122,0,-0.001,-12,-0.024,-10,-22,-0.04,3,6,0,6,16,-0.9,454,8,1.3,4,1,0.7,0.5,0.4,0.9,28.4,2.8,-10,-26,-24,-4,0.7,0.7,-1.8,-57.08,-4,0,-6,-406,3,-0.8,-25.4,15.88,-7,0,2,-12,0,-1.2,15,344,0,0.7,3,0,-11,-9,-0.006,12,4,-0.125,-1,-219,2,-3.5,-1,0,-9,-5,-0.003,-3,0,0.087,2,7,0.088,2,0,1,-11,0.9,1.7,-0.1,0.1,-0.004166667,0.28
-17,59,6.5,-6.5,10.5,-13,0,89,540,-70,0.9,0,3,24,7,3,525,9,-3,0.9,29,-63,15,1,0.7,-1,20,209,-4,9.6,0.6,151.22,-5,0,7,3,0.8,525,9,1.4,-3,-0.5,3,0.6,1.2,0.9,32.8,10.3,-10,-68,0.9,1.4,-1.4,1,-1,99.98,-2,0,-63,15,1,-4,0.7,0.9,3,47.18,8,0,10,63,1,37,0.2,-17,-278,1,26,3.8,275,-2,0,2,2,-1,-1,3,3,-8,-5,-2,2,-6,1,5,0.199,15,12,-0.034,13,766,23,0.159,-0.7,-8,-330,4,-3,0.5,4,0,-30,-4,0.048,-9,-3,0.083,3,4,0.039,13,0,-12,-76,9.6,0.6,0.1,5.9,0.003472222,0.61,-12,0,-64,238,25,0.1,3,-1,29,9,14,201,0,4,0.1,16,6,37,-3,0,1,3,-109,12,-7.4,3,-38.07,0,14,9,201,0,-0.5,-241,490,124,0.194,-3,-0.008,8,0.011,5,10,0.008,10,5,0,9,14,0.1,201,0,-0.1,4,10,0.7,0.3,0,0.5,12.6,-2,5,52,14,-8,0.1,-0.1,0.7,4.24,3,0,6,37,-3,0,2.3,-50.81,-8,0,-22,-445,-1,-7.3,-11,-364,1,-3,1,0,-6,-10,-0.183,-4,-2,0.041,-4,-246,0,-1,-12,0,-16,-12,-0.026,5,3,-0.017,-8,4,0.184,-2,0,-1,19,-7.4,3,0.1,1.6,0.002777778,-0.29
10,44,-4.5,4.5,-5.5,-17,0,117,230,-93,0.7,6,5,24,-3,-31,291,9,1,0.9,14,-55,-61,4,0.4,8,17,231,2,11.1,3.2,99.06,-3,0,-3,-31,2.9,291,9,1.8,1,0.2,-16,0.7,1,0.7,18.2,10.6,-7,-53,0.9,1.1,-0.8,0,-1,83.89,2,0,-55,-61,4,15,0.4,-3.8,2,14.06,-6,0,13,270,1,54,6.3,-6,71,0,-16,5.6,477,-7,0,1,1,1,1,3,0,-4,0,0,2,1,4,5,0.097,20,21,0.043,17,1105,22,0.12,0.1,-19,-587,9,-3,6.3,5,0,-37,-6,0.055,-15,-4,0.32,12,10,0.047,5,0,-5,-92,11.1,3.2,-0.3,2.5,0.002777778,0.67,-7,0,-51,145,28,0,7,4,27,29,30,148,-6,3,-0.2,13,-13,-3,4,0.1,13,-8,-141,1,-4.1,5.3,-33.28,0,30,29,148,-6,-2,-214,177,132,0.195,-8,-0.019,-3,-0.011,11,0,-0.016,16,4,0,29,30,1.8,148,-6,-1.3,3,22,0.4,0.1,-0.4,-0.2,9.3,-4.5,11,83,7,17,-0.2,-0.6,1.5,16.23,-1,0,-13,-3,4,0.1,-0.2,-49.55,6,0,-21,-426,-1,-6.6,-4,-376,0,-9,4,0,-7,-5,0.045,-7,-8,-0.044,2,3,0,-1.4,-14,0,-13,-13,-0.038,4,1,-0.088,3,6,0.073,-1,0,0,21,-4.1,5.3,0.1,0.9,-0.004861111,-0.17
8,50,-2,2,-6,-4,0,20,-689,-106,-0.1,4,1,-28,-43,-68,-593,-7,3,-0.2,-19,-38,-96,3,0.1,-11,-11,-75,2,3.1,2.4,-67.64,14,0,-43,-68,0.3,-593,-7,-0.6,3,0.7,-2,-0.3,-0.6,-0.4,-37.1,-5.8,0,-18,-0.2,-0.7,0.6,1,-1,-66.77,4,0,-38,-96,3,-5,0.1,-6,1,-4.43,21,0,14,254,1,58,5.5,-30,-709,0,-31,-4.1,-1119,-13,0,1,1,0,0,1,1,1,4,3,6,6,12,3,0.196,-3,0,0.077,8,225,15,0.113,-3.1,8,371,0,-3,0.2,20,0,-22,-21,-0.056,-15,-4,0.32,4,3,0.012,-9,0,6,-100,3.1,2.4,-0.7,-4.8,-0.00625,-0.03,-17,0,-88,391,1,0.4,10,4,12,3,2,446,-8,6,0.6,7,-15,-55,0,0,1,-9,-64,4,-12.8,5.6,53.39,0,2,3,446,-8,0.2,-44,458,150,0.245,-2,-0.005,-4,-0.008,14,8,0.01,-3,14,0,3,2,0.3,446,-8,-1.4,6,22,1.1,1.2,0.4,1.8,27.9,-4.4,14,212,14,14,0.6,-0.1,2.3,84.83,-2,0,-15,-55,0,0,-3.4,-22.4,-21,0,-13,-267,1,-2.8,-10,-537,0,-11.2,13,0,-9,-11,-0.136,-3,-1,0.042,5,143,1,-1.4,-20,0,-18,-31,-0.124,11,2,-0.205,-8,-5,-0.008,8,0,9,-8,-12.8,5.6,-0.4,0.6,-0.008333333,-0.62
-3,57,-3.5,3.5,6.5,-9,0,50,20,-91,0.5,10,10,-14,-44,-76,-112,-3,0,0.8,-20,-9,132,8,0.4,10,13,146,-4,9.6,6.2,18.02,1,0,-44,-76,1.1,-112,-3,0.2,0,0.2,13,0.7,0.7,0.9,-7,3.4,-6,-53,0.8,0.7,-0.3,1,1,-22.61,-4,0,-9,132,8,7,0.4,8.3,8,32.96,19,0,5,165,0,2,5.9,-20,-506,0,-32,-3,-481,7,0,0,0,10,10,2,2,-8,-5,-2,2,2,9,1,0.216,8,9,0.034,11,602,12,0.059,-1.1,-16,-730,0,-3,-0.4,7,0,-26,-8,0.018,-4,4,0.282,3,0,-0.029,8,0,-6,-89,9.6,6.2,-0.3,1.4,0.000694444,0.44,7,0,52,730,42,0.5,-4,-2,57,30,37,634,-1,-2,0.7,37,11,96,7,0.1,2,1,46,18,6.8,-1.6,-121.4,0,37,30,634,-1,-1,100,455,49,0.072,13,0.016,-3,-0.012,-6,4,-0.003,34,17,0,30,37,1.2,634,-1,-0.5,-2,20,-0.5,0.7,0.8,0.8,39.7,3.9,-6,-8,-8,6,0.7,0.9,-1.2,-85.94,6,0,11,96,7,0.1,6,-34.04,-19,0,-23,-431,-1,-5.7,-2,-165,0,-3.5,-8,0,7,4,-0.054,4,4,0.008,-13,-701,0,-1.7,9,0,1,11,0.052,2,4,0.157,13,10,0.036,-7,0,-3,49,6.8,-1.6,0.4,5.1,0.002083333,0.36
1,61,3.5,-3.5,-4.5,9,0,-61,-744,-97,-0.2,16,3,-65,-96,-71,-878,-10,13,-0.6,-50,-24,134,1,0.5,-17,-4,-40,2,-5.3,8.4,-151.42,20,0,-96,-71,-8.9,-878,-10,-1.1,13,2.5,20,-0.7,-2,0.6,-54.9,-24.5,-2,3,-0.6,-2,0.3,0,-2,-152.68,-5,0,-24,134,1,29,0.5,8.4,7,1.59,18,0,2,167,1,53,7.8,-15,-367,0,-45,-1.4,-1075,3,0,0,0,-2,-2,-1,-2,-5,0,10,8,2,4,5,0.073,-9,-11,-0.09,-5,-525,5,0.101,-2.6,6,371,6,-2,1.6,17,0,-12,-17,-0.055,-10,-8,-0.213,-11,-8,-0.038,-14,0,13,-95,-5.3,8.4,-0.9,-6.4,-0.01875,-0.42,2,0,20,392,46,0.1,-3,-1,9,34,24,229,-8,-2,0,15,7,163,5,0.3,-6,12,83,0,1.1,-1.8,-3,0,24,34,229,-8,-0.8,-58,251,80,0.116,15,0.018,-6,-0.015,15,24,0.024,-15,8,0,34,24,3.4,229,-8,-1.6,-2,10,-0.4,0.4,0.3,0,14.3,0.7,15,145,8,10,0,-0.1,2.2,23.71,7,0,7,163,5,0.3,10.2,-24.95,-18,0,-9,-338,-1,-7.1,-13,-286,1,3,-3,0,10,11,0.054,0,1,0.023,2,-64,0,-2.5,-1,0,15,-1,-0.034,-1,-3,-0.167,6,-3,-0.107,15,0,14,56,1.1,-1.8,-0.2,-0.3,-0.002777778,-0.12
